job_id,timestamp,cpu_usage,memory_usage_MB,disk_io_MBps,network_traffic_Mbps,active_instances,response_time_ms,sla_violation,cost_per_hour_$,workload_type
JOB_37,2024-01-01 00:36:00,13.14,3781.11,70.56,236.88,2,33.23,0,0.5,Analytics
JOB_38,2024-01-01 00:37:00,17.49,593.01,144.34,249.93,1,49.97,0,0.25,IoT
JOB_39,2024-01-01 00:38:00,26.52,2677.24,439.46,262.86,1,43.28,0,0.25,Streaming
JOB_40,2024-01-01 00:39:00,37.27,1670.26,332.38,190.37,3,71.27,0,0.75,Web
JOB_41,2024-01-01 00:40:00,34.43,1954.46,273.39,221.75,2,96.88,0,0.5,AI
JOB_42,2024-01-01 00:41:00,27.09,819.34,411.13,171.71,2,72.56,0,0.5,Analytics
JOB_43,2024-01-01 00:42:00,35.31,3926.34,227.62,164.95,2,55.82,0,0.5,Web
JOB_44,2024-01-01 00:43:00,29.14,993.1,132.09,72.97,2,47.14,0,0.5,IoT
JOB_45,2024-01-01 00:44:00,28.63,3199.77,88.45,195.12,2,82.19,0,0.5,IoT
JOB_46,2024-01-01 00:45:00,29.24,2221.41,395.5,160.33,1,66.13,0,0.25,Streaming
JOB_47,2024-01-01 00:46:00,14.57,3220.28,277.18,261.97,2,27.15,0,0.5,Web
JOB_48,2024-01-01 00:47:00,30.73,2263.61,165.09,200.54,3,62.76,0,0.75,Analytics
JOB_49,2024-01-01 00:48:00,27.39,2272.64,355.3,224.78,1,77.57,0,0.25,Analytics
JOB_50,2024-01-01 00:49:00,19.64,1786.72,251.72,158.04,1,30.01,0,0.25,Streaming
JOB_51,2024-01-01 00:50:00,18.1,1981.5,311.43,288.51,2,33.34,0,0.5,Web
JOB_52,2024-01-01 00:51:00,35.03,3164.0,298.32,262.61,2,59.58,0,0.5,Streaming
JOB_53,2024-01-01 00:52:00,10.59,1491.22,408.19,139.48,2,31.4,0,0.5,IoT
JOB_54,2024-01-01 00:53:00,23.47,2137.22,488.96,126.33,2,56.48,0,0.5,Analytics
JOB_55,2024-01-01 00:54:00,14.02,1534.8,172.47,100.22,1,26.23,0,0.25,Web
JOB_56,2024-01-01 00:55:00,24.46,2691.75,302.4,179.52,1,66.77,0,0.25,IoT
JOB_57,2024-01-01 00:56:00,22.18,1025.06,245.94,167.47,2,40.91,0,0.5,IoT
JOB_58,2024-01-01 00:57:00,15.22,1712.35,150.41,189.13,1,34.97,0,0.25,Streaming
JOB_59,2024-01-01 00:58:00,31.52,1182.39,476.32,73.4,3,76.54,0,0.75,IoT
JOB_60,2024-01-01 00:59:00,18.43,2184.67,267.99,107.2,1,49.5,0,0.25,AI
JOB_61,2024-01-01 01:00:00,19.77,2876.21,178.42,71.76,1,54.85,0,0.25,AI
JOB_62,2024-01-01 01:01:00,16.55,1314.96,176.37,260.84,1,27.23,0,0.25,Streaming
JOB_63,2024-01-01 01:02:00,23.85,2807.4,214.24,123.5,1,62.28,0,0.25,AI
JOB_64,2024-01-01 01:03:00,26.86,1828.13,369.46,65.03,2,68.97,0,0.5,Streaming
JOB_65,2024-01-01 01:04:00,14.62,1350.41,356.57,141.62,1,29.81,0,0.25,IoT
JOB_66,2024-01-01 01:05:00,32.68,2063.26,440.94,259.94,2,88.05,0,0.5,AI
JOB_67,2024-01-01 01:06:00,38.97,1409.59,165.91,282.63,3,67.82,0,0.75,Streaming
JOB_68,2024-01-01 01:07:00,18.76,932.96,328.62,185.12,2,30.65,0,0.5,AI
JOB_69,2024-01-01 01:08:00,19.74,3728.98,265.46,277.92,1,31.55,0,0.25,IoT
JOB_70,2024-01-01 01:09:00,37.13,2898.68,404.55,238.25,4,66.48,0,1.0,Analytics
JOB_71,2024-01-01 01:10:00,19.69,1859.93,117.4,145.13,1,45.89,0,0.25,Web
JOB_72,2024-01-01 01:11:00,32.47,2549.16,124.44,144.28,3,93.08,0,0.75,IoT
JOB_73,2024-01-01 01:12:00,27.16,2048.27,341.29,237.29,2,53.15,0,0.5,Web
JOB_74,2024-01-01 01:13:00,28.24,837.24,290.12,275.52,1,64.51,0,0.25,Streaming
JOB_75,2024-01-01 01:14:00,28.85,935.28,226.38,114.51,1,81.44,0,0.25,Analytics
JOB_76,2024-01-01 01:15:00,29.47,988.54,93.57,183.24,2,79.4,0,0.5,Web
JOB_77,2024-01-01 01:16:00,36.22,3605.0,121.32,230.27,2,71.23,0,0.5,IoT
JOB_78,2024-01-01 01:17:00,16.5,688.1,480.92,248.84,1,44.23,0,0.25,IoT
JOB_79,2024-01-01 01:18:00,18.65,721.14,165.82,204.69,2,51.01,0,0.5,Streaming
JOB_80,2024-01-01 01:19:00,28.12,1040.89,251.5,286.62,1,66.32,0,0.25,Web
JOB_81,2024-01-01 01:20:00,19.87,3998.47,199.76,179.48,2,54.3,0,0.5,Web
JOB_82,2024-01-01 01:21:00,39.58,2127.5,355.38,81.41,3,117.06,0,0.75,AI
JOB_83,2024-01-01 01:22:00,34.86,1248.78,243.53,188.25,2,78.06,0,0.5,Analytics
JOB_84,2024-01-01 01:23:00,38.01,1716.77,246.72,77.66,3,84.36,0,0.75,Web
JOB_85,2024-01-01 01:24:00,15.03,3356.18,387.45,227.72,2,26.53,0,0.5,Web
JOB_86,2024-01-01 01:25:00,21.63,1707.88,460.33,190.33,1,52.71,0,0.25,Analytics
JOB_87,2024-01-01 01:26:00,31.92,2940.15,99.49,128.42,3,88.38,0,0.75,Streaming
JOB_88,2024-01-01 01:27:00,23.67,3100.46,437.25,233.79,2,45.43,0,0.5,Analytics
JOB_89,2024-01-01 01:28:00,19.88,1738.33,232.08,89.12,2,30.99,0,0.5,Streaming
JOB_90,2024-01-01 01:29:00,11.2,3306.01,119.2,84.77,1,21.87,0,0.25,Streaming
JOB_91,2024-01-01 01:30:00,25.58,3220.39,484.89,231.02,1,47.36,0,0.25,Web
JOB_92,2024-01-01 01:31:00,37.45,2696.77,115.26,110.16,4,108.73,0,1.0,Streaming
JOB_93,2024-01-01 01:32:00,39.2,929.78,309.63,172.94,2,112.72,0,0.5,Streaming
JOB_94,2024-01-01 01:33:00,23.8,2554.56,82.72,98.76,2,69.14,0,0.5,IoT
JOB_95,2024-01-01 01:34:00,30.58,3458.54,114.98,274.42,4,91.0,0,1.0,IoT
JOB_96,2024-01-01 01:35:00,38.15,688.28,392.9,86.59,4,69.26,0,1.0,Streaming
JOB_97,2024-01-01 01:36:00,38.65,527.49,58.94,292.32,4,110.65,0,1.0,AI
JOB_98,2024-01-01 01:37:00,15.6,3786.22,122.72,174.5,2,26.03,0,0.5,Streaming
JOB_99,2024-01-01 01:38:00,15.85,1759.14,239.31,209.81,1,34.23,0,0.25,AI
JOB_100,2024-01-01 01:39:00,18.47,1301.79,463.59,225.62,1,47.67,0,0.25,Web
JOB_101,2024-01-01 01:40:00,22.88,3517.06,51.47,74.14,2,63.38,0,0.5,Analytics
JOB_102,2024-01-01 01:41:00,22.56,1420.3,324.87,237.82,1,67.57,0,0.25,Streaming
JOB_103,2024-01-01 01:42:00,13.99,1626.87,69.32,146.78,1,23.17,0,0.25,Streaming
JOB_104,2024-01-01 01:43:00,26.5,3898.55,260.13,288.88,2,61.53,0,0.5,Streaming
JOB_105,2024-01-01 01:44:00,11.16,3379.81,54.02,75.85,1,19.93,0,0.25,Web
JOB_106,2024-01-01 01:45:00,21.21,2678.93,375.1,292.56,1,48.71,0,0.25,Web
JOB_107,2024-01-01 01:46:00,21.15,2158.6,273.15,71.06,1,46.3,0,0.25,IoT
JOB_108,2024-01-01 01:47:00,28.21,890.31,362.21,171.65,2,51.42,0,0.5,Web
JOB_109,2024-01-01 01:48:00,20.31,3460.61,341.99,88.18,1,39.69,0,0.25,Streaming
JOB_110,2024-01-01 01:49:00,26.95,638.61,299.79,191.4,1,64.77,0,0.25,Web
JOB_111,2024-01-01 01:50:00,30.71,3167.25,258.66,115.67,3,83.27,0,0.75,IoT
JOB_112,2024-01-01 01:51:00,27.96,1524.81,486.9,212.22,1,78.78,0,0.25,AI
JOB_113,2024-01-01 01:52:00,15.27,1986.2,327.13,114.28,1,42.46,0,0.25,AI
JOB_114,2024-01-01 01:53:00,20.47,741.44,252.04,139.63,2,35.4,0,0.5,IoT
JOB_115,2024-01-01 01:54:00,22.07,3424.39,65.85,165.61,1,41.96,0,0.25,AI
JOB_116,2024-01-01 01:55:00,26.74,2895.79,420.26,170.6,2,48.78,0,0.5,IoT
JOB_117,2024-01-01 01:56:00,24.2,3872.05,440.2,225.02,2,72.29,0,0.5,Streaming
JOB_118,2024-01-01 01:57:00,38.24,1020.78,141.0,55.76,4,61.42,0,1.0,Analytics
JOB_119,2024-01-01 01:58:00,22.5,818.64,66.84,159.19,1,64.73,0,0.25,AI
JOB_120,2024-01-01 01:59:00,37.13,580.68,341.74,294.65,3,73.63,0,0.75,IoT
JOB_121,2024-01-01 02:00:00,39.08,1502.51,237.73,184.85,3,77.11,0,0.75,Streaming
JOB_122,2024-01-01 02:01:00,15.74,3739.94,375.41,219.77,2,33.43,0,0.5,Streaming
JOB_123,2024-01-01 02:02:00,21.48,2753.86,108.51,143.37,2,49.07,0,0.5,AI
JOB_124,2024-01-01 02:03:00,16.0,3083.52,230.49,285.57,1,39.18,0,0.25,Web
JOB_125,2024-01-01 02:04:00,27.0,3823.79,290.21,65.22,2,46.4,0,0.5,Analytics
JOB_126,2024-01-01 02:05:00,24.97,3272.65,328.23,73.05,1,58.83,0,0.25,IoT
JOB_127,2024-01-01 02:06:00,34.34,2105.03,352.66,214.39,4,91.31,0,1.0,AI
JOB_128,2024-01-01 02:07:00,30.32,1250.48,499.75,289.78,2,51.06,0,0.5,IoT
JOB_129,2024-01-01 02:08:00,34.09,1548.65,253.82,69.41,3,64.9,0,0.75,IoT
JOB_130,2024-01-01 02:09:00,15.37,1941.39,357.22,179.92,1,30.97,0,0.25,AI
JOB_131,2024-01-01 02:10:00,31.07,3528.89,185.9,181.73,3,77.1,0,0.75,IoT
JOB_132,2024-01-01 02:11:00,28.96,2068.96,82.28,68.98,1,55.88,0,0.25,AI
JOB_133,2024-01-01 02:12:00,16.64,2028.99,69.1,263.98,1,49.13,0,0.25,IoT
JOB_134,2024-01-01 02:13:00,27.95,1659.82,385.65,262.36,2,80.59,0,0.5,IoT
JOB_135,2024-01-01 02:14:00,27.12,1721.71,345.89,227.84,1,74.44,0,0.25,IoT
JOB_136,2024-01-01 02:15:00,17.43,3338.08,345.9,154.53,2,37.46,0,0.5,IoT
JOB_137,2024-01-01 02:16:00,34.43,780.99,392.95,243.15,3,57.08,0,0.75,IoT
JOB_138,2024-01-01 02:17:00,18.76,3241.61,339.88,126.93,1,55.65,0,0.25,IoT
JOB_139,2024-01-01 02:18:00,33.18,1520.22,377.85,162.76,2,92.78,0,0.5,Streaming
JOB_140,2024-01-01 02:19:00,12.94,1907.21,208.91,208.08,1,25.67,0,0.25,Streaming
JOB_141,2024-01-01 02:20:00,34.78,3110.57,459.99,209.29,2,91.55,0,0.5,Analytics
JOB_142,2024-01-01 02:21:00,36.09,1756.93,454.86,276.67,2,92.49,0,0.5,IoT
JOB_143,2024-01-01 02:22:00,15.26,2289.51,377.59,286.71,1,22.95,0,0.25,AI
JOB_144,2024-01-01 02:23:00,20.23,1783.45,447.45,253.26,2,59.11,0,0.5,IoT
JOB_145,2024-01-01 02:24:00,17.14,2596.74,105.75,209.39,1,26.13,0,0.25,AI
JOB_146,2024-01-01 02:25:00,29.77,645.5,284.89,55.12,1,80.59,0,0.25,AI
JOB_147,2024-01-01 02:26:00,22.0,2997.07,95.98,129.56,1,51.24,0,0.25,Web
JOB_148,2024-01-01 02:27:00,17.3,2145.19,413.62,145.85,2,27.74,0,0.5,IoT
JOB_149,2024-01-01 02:28:00,33.48,1006.09,236.88,62.27,3,94.23,0,0.75,Streaming
JOB_150,2024-01-01 02:29:00,34.51,3372.7,150.93,266.28,4,62.86,0,1.0,AI
JOB_151,2024-01-01 02:30:00,37.52,3667.44,246.65,141.59,4,73.38,0,1.0,AI
JOB_152,2024-01-01 02:31:00,37.73,2691.84,237.68,54.13,4,96.92,0,1.0,Web
JOB_153,2024-01-01 02:32:00,11.52,2619.17,419.14,261.58,2,30.29,0,0.5,IoT
JOB_154,2024-01-01 02:33:00,35.32,1735.19,71.5,186.17,4,88.52,0,1.0,IoT
JOB_155,2024-01-01 02:34:00,10.69,1790.66,365.65,97.33,2,24.13,0,0.5,Streaming
JOB_156,2024-01-01 02:35:00,38.94,2445.62,458.84,159.93,4,110.16,0,1.0,AI
JOB_157,2024-01-01 02:36:00,39.22,1461.14,250.44,75.25,2,102.0,0,0.5,AI
JOB_158,2024-01-01 02:37:00,11.93,808.21,435.44,214.63,1,22.24,0,0.25,AI
JOB_159,2024-01-01 02:38:00,23.83,3183.07,204.78,125.79,2,57.94,0,0.5,IoT
JOB_160,2024-01-01 02:39:00,24.19,1648.65,207.59,282.9,1,68.11,0,0.25,Web
JOB_161,2024-01-01 02:40:00,24.94,2061.78,122.59,191.72,1,45.86,0,0.25,IoT
JOB_162,2024-01-01 02:41:00,11.76,2058.15,245.39,75.17,1,20.91,0,0.25,Analytics
JOB_163,2024-01-01 02:42:00,28.94,3778.74,151.3,274.21,1,57.38,0,0.25,AI
JOB_164,2024-01-01 02:43:00,34.13,1941.0,62.41,77.13,2,79.19,0,0.5,IoT
JOB_165,2024-01-01 02:44:00,37.12,1491.61,59.06,266.55,3,71.72,0,0.75,IoT
JOB_166,2024-01-01 02:45:00,24.91,2025.78,357.6,175.36,2,57.23,0,0.5,Web
JOB_167,2024-01-01 02:46:00,32.96,3834.13,308.62,116.74,3,60.89,0,0.75,Streaming
JOB_168,2024-01-01 02:47:00,32.68,2548.72,160.62,241.48,2,65.12,0,0.5,Analytics
JOB_169,2024-01-01 02:48:00,28.83,1088.6,354.68,107.09,2,77.93,0,0.5,Analytics
JOB_170,2024-01-01 02:49:00,25.05,1256.38,121.27,210.93,1,43.58,0,0.25,AI
JOB_171,2024-01-01 02:50:00,33.24,1698.88,136.92,174.56,2,89.78,0,0.5,AI
JOB_172,2024-01-01 02:51:00,23.67,2637.09,402.49,260.06,2,43.17,0,0.5,Web
JOB_173,2024-01-01 02:52:00,33.06,810.91,73.9,187.05,4,52.11,0,1.0,IoT
JOB_174,2024-01-01 02:53:00,27.25,3106.58,360.74,122.57,2,43.68,0,0.5,AI
JOB_175,2024-01-01 02:54:00,31.01,1416.65,154.09,155.05,3,85.52,0,0.75,Streaming
JOB_176,2024-01-01 02:55:00,19.65,1727.3,313.28,210.06,1,56.85,0,0.25,Streaming
JOB_177,2024-01-01 02:56:00,14.16,3606.46,152.7,295.63,1,29.0,0,0.25,IoT
JOB_178,2024-01-01 02:57:00,18.08,2602.18,224.6,182.44,2,52.31,0,0.5,AI
JOB_179,2024-01-01 02:58:00,25.44,1264.04,426.0,197.21,1,39.28,0,0.25,AI
JOB_180,2024-01-01 02:59:00,28.46,1943.16,359.33,298.2,1,43.32,0,0.25,AI
JOB_181,2024-01-01 03:00:00,39.19,3414.73,339.04,241.84,3,94.64,0,0.75,Analytics
JOB_182,2024-01-01 03:01:00,32.07,3102.09,298.62,110.16,4,93.95,0,1.0,Streaming
JOB_183,2024-01-01 03:02:00,31.77,3561.53,346.96,248.73,4,57.07,0,1.0,Streaming
JOB_184,2024-01-01 03:03:00,30.51,1652.51,115.76,115.13,4,73.66,0,1.0,AI
JOB_185,2024-01-01 03:04:00,13.28,1614.74,431.02,230.18,2,34.11,0,0.5,Web
JOB_186,2024-01-01 03:05:00,22.74,2830.19,59.27,79.39,2,58.27,0,0.5,Analytics
JOB_187,2024-01-01 03:06:00,20.98,1001.63,120.13,95.22,2,54.01,0,0.5,Streaming
JOB_188,2024-01-01 03:07:00,20.37,2614.04,127.12,228.52,2,58.73,0,0.5,AI
JOB_189,2024-01-01 03:08:00,19.36,3481.32,198.4,56.37,1,46.6,0,0.25,AI
JOB_190,2024-01-01 03:09:00,39.52,847.22,349.17,87.59,2,78.35,0,0.5,IoT
JOB_191,2024-01-01 03:10:00,18.2,3228.09,367.66,89.67,1,31.85,0,0.25,AI
JOB_192,2024-01-01 03:11:00,18.74,2214.21,206.29,218.2,1,49.59,0,0.25,Streaming
JOB_193,2024-01-01 03:12:00,18.17,3236.78,69.43,122.31,2,36.43,0,0.5,IoT
JOB_194,2024-01-01 03:13:00,26.46,3127.39,165.21,227.53,1,47.4,0,0.25,Streaming
JOB_195,2024-01-01 03:14:00,28.27,1018.3,334.14,225.69,2,55.63,0,0.5,Streaming
JOB_196,2024-01-01 03:15:00,30.0,3918.09,56.65,238.22,4,58.17,0,1.0,IoT
JOB_197,2024-01-01 03:16:00,37.85,3050.5,395.54,68.72,4,57.58,0,1.0,AI
JOB_198,2024-01-01 03:17:00,13.58,3087.07,387.35,110.65,2,24.19,0,0.5,Web
JOB_199,2024-01-01 03:18:00,20.1,1340.94,53.32,231.11,2,34.27,0,0.5,AI
JOB_200,2024-01-01 03:19:00,18.84,3559.1,472.48,64.33,2,32.25,0,0.5,Web
JOB_201,2024-01-01 03:20:00,11.18,2540.43,456.29,183.07,2,30.3,0,0.5,IoT
JOB_202,2024-01-01 03:21:00,38.9,1902.86,461.27,241.42,2,61.66,0,0.5,Web
JOB_203,2024-01-01 03:22:00,10.11,3181.85,363.02,168.78,1,24.09,0,0.25,Streaming
JOB_204,2024-01-01 03:23:00,28.75,1494.45,107.83,113.64,2,54.96,0,0.5,Analytics
JOB_205,2024-01-01 03:24:00,14.99,2117.15,374.02,283.63,2,37.46,0,0.5,Streaming
JOB_206,2024-01-01 03:25:00,11.37,903.48,411.8,203.02,1,30.45,0,0.25,Web
JOB_207,2024-01-01 03:26:00,31.86,1530.32,495.79,214.28,3,89.51,0,0.75,Analytics
JOB_208,2024-01-01 03:27:00,32.84,1546.3,281.93,231.9,4,70.73,0,1.0,IoT
JOB_209,2024-01-01 03:28:00,14.86,2713.32,379.78,244.96,2,35.0,0,0.5,IoT
JOB_210,2024-01-01 03:29:00,35.46,3531.88,353.24,235.34,4,94.15,0,1.0,AI
JOB_211,2024-01-01 03:30:00,39.1,943.33,312.45,225.29,3,98.54,0,0.75,Streaming
JOB_212,2024-01-01 03:31:00,23.33,1960.16,109.73,146.48,1,53.31,0,0.25,Streaming
JOB_213,2024-01-01 03:32:00,17.24,3416.73,111.32,287.74,1,46.16,0,0.25,AI
JOB_214,2024-01-01 03:33:00,10.59,2532.66,167.03,232.43,1,19.13,0,0.25,Streaming
JOB_215,2024-01-01 03:34:00,24.7,3508.27,143.35,295.54,1,63.99,0,0.25,IoT
JOB_216,2024-01-01 03:35:00,37.06,3737.54,420.29,60.1,3,89.27,0,0.75,AI
JOB_217,2024-01-01 03:36:00,35.16,1612.64,136.58,124.36,3,59.52,0,0.75,Streaming
JOB_218,2024-01-01 03:37:00,10.45,1961.98,116.97,268.05,1,28.07,0,0.25,Streaming
JOB_219,2024-01-01 03:38:00,23.72,2584.92,200.8,62.51,1,61.16,0,0.25,IoT
JOB_220,2024-01-01 03:39:00,33.5,2790.35,111.35,219.26,4,77.38,0,1.0,AI
JOB_221,2024-01-01 03:40:00,13.34,1782.67,483.92,260.25,1,30.57,0,0.25,Analytics
JOB_222,2024-01-01 03:41:00,17.77,1065.45,182.37,282.96,2,39.3,0,0.5,Web
JOB_223,2024-01-01 03:42:00,19.99,1831.64,297.96,296.9,1,58.26,0,0.25,Streaming
JOB_224,2024-01-01 03:43:00,29.12,2121.67,342.72,51.58,1,62.92,0,0.25,AI
JOB_225,2024-01-01 03:44:00,15.92,888.76,147.57,184.29,1,27.37,0,0.25,IoT
JOB_226,2024-01-01 03:45:00,16.77,2318.43,469.23,165.91,1,32.42,0,0.25,AI
JOB_227,2024-01-01 03:46:00,17.21,2924.3,493.12,193.42,2,35.38,0,0.5,AI
JOB_228,2024-01-01 03:47:00,11.17,2342.57,190.18,266.51,1,29.88,0,0.25,AI
JOB_229,2024-01-01 03:48:00,12.53,3753.15,226.32,161.41,2,32.35,0,0.5,AI
JOB_230,2024-01-01 03:49:00,36.22,3972.13,228.14,167.38,2,80.68,0,0.5,AI
JOB_231,2024-01-01 03:50:00,35.38,1668.16,194.4,104.22,4,67.33,0,1.0,Analytics
JOB_232,2024-01-01 03:51:00,36.96,3880.75,497.56,154.33,3,107.16,0,0.75,Web
JOB_233,2024-01-01 03:52:00,17.45,3609.44,344.49,127.03,2,50.59,0,0.5,Streaming
JOB_234,2024-01-01 03:53:00,20.07,2270.83,383.43,223.7,1,48.78,0,0.25,IoT
JOB_235,2024-01-01 03:54:00,37.24,3117.47,82.81,156.06,2,80.66,0,0.5,Analytics
JOB_236,2024-01-01 03:55:00,33.19,2377.92,82.52,150.0,3,94.79,0,0.75,AI
JOB_237,2024-01-01 03:56:00,37.78,643.09,391.52,173.8,2,84.64,0,0.5,Streaming
JOB_238,2024-01-01 03:57:00,23.79,1241.13,480.72,232.42,1,68.04,0,0.25,Web
JOB_239,2024-01-01 03:58:00,23.2,1071.49,378.02,165.96,1,36.77,0,0.25,Streaming
JOB_240,2024-01-01 03:59:00,37.58,1592.8,113.78,208.01,4,80.61,0,1.0,Analytics
JOB_241,2024-01-01 04:00:00,16.56,948.4,164.05,212.87,2,37.43,0,0.5,IoT
JOB_242,2024-01-01 04:01:00,25.67,3323.97,477.79,141.17,2,72.59,0,0.5,AI
JOB_243,2024-01-01 04:02:00,29.89,2567.56,402.94,216.59,1,62.95,0,0.25,Streaming
JOB_244,2024-01-01 04:03:00,15.18,560.66,249.63,170.24,2,40.04,0,0.5,Streaming
JOB_245,2024-01-01 04:04:00,18.1,1760.95,321.97,279.71,2,39.59,0,0.5,Web
JOB_246,2024-01-01 04:05:00,23.24,3721.5,129.74,126.45,2,67.98,0,0.5,Streaming
JOB_247,2024-01-01 04:06:00,10.6,3047.41,328.59,132.92,1,19.18,0,0.25,Analytics
JOB_248,2024-01-01 04:07:00,12.29,1597.77,148.73,298.1,1,36.21,0,0.25,Streaming
JOB_249,2024-01-01 04:08:00,32.56,2867.09,461.08,117.14,3,84.28,0,0.75,Streaming
JOB_250,2024-01-01 04:09:00,16.75,1440.34,206.13,235.82,1,35.7,0,0.25,Analytics
JOB_251,2024-01-01 04:10:00,28.84,3559.81,389.72,165.75,1,54.12,0,0.25,IoT
JOB_252,2024-01-01 04:11:00,24.36,2076.61,412.1,127.95,1,48.22,0,0.25,Web
JOB_253,2024-01-01 04:12:00,17.85,509.79,379.47,237.95,1,49.93,0,0.25,AI
JOB_254,2024-01-01 04:13:00,19.31,3450.33,416.39,191.48,1,33.95,0,0.25,IoT
JOB_255,2024-01-01 04:14:00,33.44,1591.65,69.21,50.24,4,78.52,0,1.0,IoT
JOB_256,2024-01-01 04:15:00,19.03,3839.31,313.61,176.78,1,55.46,0,0.25,IoT
JOB_257,2024-01-01 04:16:00,24.89,2926.38,153.37,264.87,1,53.18,0,0.25,AI
JOB_258,2024-01-01 04:17:00,36.23,2188.54,344.77,199.97,4,58.76,0,1.0,Web
JOB_259,2024-01-01 04:18:00,28.78,2809.99,422.42,262.33,2,55.58,0,0.5,Web
JOB_260,2024-01-01 04:19:00,26.35,1543.23,380.77,62.56,1,63.57,0,0.25,Analytics
JOB_261,2024-01-01 04:20:00,28.67,1221.39,325.05,103.35,2,47.49,0,0.5,IoT
JOB_262,2024-01-01 04:21:00,10.27,3807.04,368.79,215.12,2,24.98,0,0.5,Web
JOB_263,2024-01-01 04:22:00,27.0,2651.87,85.66,141.86,2,57.11,0,0.5,Analytics
JOB_264,2024-01-01 04:23:00,26.67,2271.48,483.97,251.3,2,72.47,0,0.5,AI
JOB_265,2024-01-01 04:24:00,24.72,1627.38,427.03,202.39,1,49.0,0,0.25,Analytics
JOB_266,2024-01-01 04:25:00,30.83,1887.95,79.86,133.76,2,69.32,0,0.5,Web
JOB_267,2024-01-01 04:26:00,15.16,608.95,382.57,187.64,2,26.59,0,0.5,IoT
